    0   50  102    0 9999 9999 9999    0    0 0
    1   45    2    0 9999 9999 9999   10    0 0
    2   48    2    0 9999 9999 9999   10    0 0
    3   52    2    0 9999 9999 9999   10    0 0
    4   55    2    0 9999 9999 9999   10    0 0
    5   46   15    0 9999 9999 9999   10    0 0
    6   50   15    0 9999 9999 9999   10    0 0
    7   54   15    0 9999 9999 9999   10    0 0
    8   48   28    0 9999 9999 9999   10    0 0
    9   52   28    0 9999 9999 9999   10    0 0
   10    2   30    0 9999 9999 9999   10    0 0
   11   98   30    0 9999 9999 9999   10    0 0
   12    2   33    0 9999 9999 9999   10    0 0
   13   98   33    0 9999 9999 9999   10    0 0
   14   15   35    0 9999 9999 9999   10    0 0
   15   85   35    0 9999 9999 9999   10    0 0
   16    2   36    0 9999 9999 9999   10    0 0
   17   98   36    0 9999 9999 9999   10    0 0
   18    2   39    0 9999 9999 9999   10    0 0
   19   15   39    0 9999 9999 9999   10    0 0
   20   85   39    0 9999 9999 9999   10    0 0
   21   98   39    0 9999 9999 9999   10    0 0
   22   27   40    0 9999 9999 9999   10    0 0
   23   73   40    0 9999 9999 9999   10    0 0
   24   50   41    0 9999 9999 9999   10    0 0
   25   15   42    0 9999 9999 9999   10    0 0
   26   85   42    0 9999 9999 9999   10    0 0
   27   27   44    0 9999 9999 9999   10    0 0
   28   73   44    0 9999 9999 9999   10    0 0
   29   40   46    0 9999 9999 9999   10    0 0
   30   60   46    0 9999 9999 9999   10    0 0
   31   43   59    0 9999 9999 9999   10    0 0
   32   57   59    0 9999 9999 9999   10    0 0
   33   31   72    0 9999 9999 9999   10    0 0
   34   35   72    0 9999 9999 9999   10    0 0
   35   65   72    0 9999 9999 9999   10    0 0
   36   69   72    0 9999 9999 9999   10    0 0
   37   20   85    0 9999 9999 9999   10    0 0
   38   24   85    0 9999 9999 9999   10    0 0
   39   27   85    0 9999 9999 9999   10    0 0
   40   73   85    0 9999 9999 9999   10    0 0
   41   76   85    0 9999 9999 9999   10    0 0
   42   80   85    0 9999 9999 9999   10    0 0
   43    9   98    0 9999 9999 9999   10    0 0
   44   12   98    0 9999 9999 9999   10    0 0
   45   16   98    0 9999 9999 9999   10    0 0
   46   19   98    0 9999 9999 9999   10    0 0
   47   81   98    0 9999 9999 9999   10    0 0
   48   84   98    0 9999 9999 9999   10    0 0
   49   88   98    0 9999 9999 9999   10    0 0
   50   91   98    0 9999 9999 9999   10    0 0
   51    9    2    0 9999 9999 9999   10    0 0
   52   12    2    0 9999 9999 9999   10    0 0
   53   16    2    0 9999 9999 9999   10    0 0
   54   19    2    0 9999 9999 9999   10    0 0
   55   81    2    0 9999 9999 9999   10    0 0
   56   84    2    0 9999 9999 9999   10    0 0
   57   88    2    0 9999 9999 9999   10    0 0
   58   91    2    0 9999 9999 9999   10    0 0
   59   20   15    0 9999 9999 9999   10    0 0
   60   24   15    0 9999 9999 9999   10    0 0
   61   27   15    0 9999 9999 9999   10    0 0
   62   73   15    0 9999 9999 9999   10    0 0
   63   76   15    0 9999 9999 9999   10    0 0
   64   80   15    0 9999 9999 9999   10    0 0
   65   31   28    0 9999 9999 9999   10    0 0
   66   35   28    0 9999 9999 9999   10    0 0
   67   65   28    0 9999 9999 9999   10    0 0
   68   69   28    0 9999 9999 9999   10    0 0
   69   43   41    0 9999 9999 9999   10    0 0
   70   57   41    0 9999 9999 9999   10    0 0
   71   40   54    0 9999 9999 9999   10    0 0
   72   60   54    0 9999 9999 9999   10    0 0
   73   27   56    0 9999 9999 9999   10    0 0
   74   73   56    0 9999 9999 9999   10    0 0
   75   15   58    0 9999 9999 9999   10    0 0
   76   85   58    0 9999 9999 9999   10    0 0
   77   50   59    0 9999 9999 9999   10    0 0
   78   27   60    0 9999 9999 9999   10    0 0
   79   73   60    0 9999 9999 9999   10    0 0
   80    2   61    0 9999 9999 9999   10    0 0
   81   15   61    0 9999 9999 9999   10    0 0
   82   85   61    0 9999 9999 9999   10    0 0
   83   98   61    0 9999 9999 9999   10    0 0
   84    2   64    0 9999 9999 9999   10    0 0
   85   98   64    0 9999 9999 9999   10    0 0
   86   15   65    0 9999 9999 9999   10    0 0
   87   85   65    0 9999 9999 9999   10    0 0
   88    2   67    0 9999 9999 9999   10    0 0
   89   98   67    0 9999 9999 9999   10    0 0
   90    2   70    0 9999 9999 9999   10    0 0
   91   98   70    0 9999 9999 9999   10    0 0
   92   48   72    0 9999 9999 9999   10    0 0
   93   52   72    0 9999 9999 9999   10    0 0
   94   46   85    0 9999 9999 9999   10    0 0
   95   50   85    0 9999 9999 9999   10    0 0
   96   54   85    0 9999 9999 9999   10    0 0
   97   45   98    0 9999 9999 9999   10    0 0
   98   48   98    0 9999 9999 9999   10    0 0
   99   52   98    0 9999 9999 9999   10    0 0
  100   55   98    0 9999 9999 9999   10    0 0
